competence_id,competence,bloc,description
C16,work with probabilities,Data Analysis,"Predict the probability of an outcome based on calculations or experience. estimate the probability of an outcome or fact, work with probabilities, make estimations"
C17,The techniques and principles of software development,Programming & Software Development,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms (e.g. object oriented programming, functional programming) and of programming languages. GCC, Ada, ALGOL, Visual Basic .NET, Visual Basic, HyperTalk, AppleScript, Ceylon, LabVIEW, Euphoria, Subversion, OCaml, PL/I, MSVC++, Dylan, AspectJ, Korn-shell, STL, Io, Hack, Turing , Object Pascal, Curl, DIBOL, cT , KnockoutJS, bash, Seed7, Emacs Lisp, OpenCV, Rebol, Lua, BCPL, ActionScript, C shell, AWK, INTERCAL, COMAL, PowerShell, occam, Fantom, Caml, Z shell, Tcl, Squirrel-script, IDL, Gosu, Fortran, X10 , AngularJS, REXX, BizTalk, ColdFusion, PostScript, TACL"
C18,data scraping,Data Engineering & Databases,"The methods of artificial intelligence, machine learning, statistics and databases used to extract content from a dataset."
C19,quality control,Data Engineering & Databases,"Keep records of the machine's faults, interventions and irregularities for quality control. file production data for quality control, keep records of production data for quality control, file machinery fault statistics for quality assurance, evidence record machinery fault statistics for quality assurance, evidence record production data for quality control, chronicle machinery fault statistics for quality assurance, document production data for quality control, chronicle production data for quality control, document machinery fault statistics for quality assurance"
C20,analyze energy market data,Data Analysis,"Analyse data influencing the movement of the energy market, and liaise with the important stakeholders in the energy field in order to make accurate predictions and perform the most beneficial actions. analyze energy market trends, analysing energy market data, analysing energy market trends, energy market trends analysing, energy market data analysing, energy market trend analysing
"
C21,utilise ICT tools for logic programming,Programming & Software Development,"Utilise specialised ICT tools to create computer code composed of series of sentences in logical form, expressing rules and facts about some problem domain. Use programming languages which support this method such as Prolog, Answer Set Programming and Datalog. utilise ICT tools for logic programming, use Datalog for logic programming, employ Answer Set Programming, employ ICT tools for logic programming,  use Prolog for logic programming
"
C22,apply numerical analysis to data,Data Analysis,"Use models (descriptive or inferential statistics) and techniques (data mining or machine learning) for statistical analysis and ICT tools to analyse data, uncover correlations and forecast trends. apply numerical analysis to data, apply JMP statistical analysis techniques, apply minitab statistical analysis techniques
"
C23,ML,Machine Learning,"The principles, methods and algorithms of machine learning, a subfield of artificial intelligence. Common machine learning models such as supervised or unsupervised models, semi- supervised models and reinforcement learning models. ML, supervised learning, machine learning models, semi-supervised learning, unsupervised learning
"
C24,data feature engineering,Machine Learning,"Reduce the number of variables or features for a dataset in machine learning algorithms through methods such as principal component analysis, matrix factorization, autoencoder methods, and others. ML, supervised learning, machine learning models, semi-supervised learning, unsupervised learning
"
C25,analyse large-scale data in health care,Data Analysis,"Carry out large-scale data gathering such as questionnaire surveys, and analyse the obtained data. analyse large-scale data in health care, analyse statistics in healthcare, analyse statistic in healthcare, interpret large-scale data in healthcare, assay large-scale data in healthcare, evaluate large-scale data in healthcare, carry out large-scale data in healthcare, analyze large-scale data in healthcare, examine large-scale data in healthcare, analyse big data in healthcare
"
C26,mine data,Machine Learning,"Explore large datasets to reveal patterns using statistics, database systems or artificial intelligence and present the information in a comprehensible way. mine data, use model data
"
C27,analyze big data,Data Analysis,"Collect and evaluate numerical data in large quantities, especially for the purpose of identifying patterns between the data. analyze big data, scrutinise big data, big data analysis, investigate big data, search big data, test big data, analysing big data, big data analysing
"
C28,data engineering methods,Data Engineering & Databases,The process of developing and constructing systems for implementing data collection and analysis at large scale. use data engineering methods
C29,oil operations data analysis,Data Analysis,"Record and process oil operating data. Comprehend and analyse documents, instruments and data results of laboratory analyses. oil operations data analysis, analysing oil operations data, recording data about oil operations, data analysis for oil operations, recording of oil operations data, analysis of oil operations data, analyze oil operations data, oil operations data recording, data recording for oil operations, analysing data for oil operations, record oil operations data, recording oil operations data
"
C30,biostatistical methods,Data Analysis,"The methods used to summarise, collect, present, and interpret data in medical practice. The use of the obtained data to estimate and test hypotheses in the medical field. biostatistical methods, medical research using statistics, medical application of statistics, statistical analysis of medical practice
"
C31,MySQL,Data Engineering & Databases,"The computer program MySQL is a tool for creating, updating and managing databases, currently developed by the software company Oracle. MySQL Classic Edition, MySQL Enterprise Edition, MySQL Embedded (OEM/ISV), MySQL Standard Edition, MySQL Cluster CGE
"
C32,"Informix 4GL/SQL, Subquery, SEQUEL",Data Engineering & Databases,"The computer language SQL is a query language for retrieval of information from a database and of documents containing the needed information. It is developed by the American National Standards Institute and the International Organization for Standardization. MySQL Classic Edition, MySQL Enterprise Edition, MySQL Embedded (OEM/ISV), MySQL Standard Edition, MySQL Cluster CGE
"
C33,utilise object-oriented programming,Programming & Software Development,"Utilise specialised ICT tools for programming paradigm based on the concept of objects, which can contain data in the form of fields and code in the form of procedures. Use programming languages which support this method such as JAVA and C++."
C34,employ ICT tools for computer code creation,Programming & Software Development,"Utilise specialised ICT tools to create computer code that is interpreted by the corresponding run-time environments in order to extend applications and automate common computer operations. Use programming languages which support this method such as Unix Shell scripts, JavaScript, Python and Ruby. employ ICT tools for computer code creation, use ICT tools for computer code generation, employ programming languages for computer code creation, use ICT tools for computer code development, use ICT tools for computer code creation
"
C35,quantitative data analysis,Data Analysis,The technique of employing statistical and mathematical modelling and measurement to represent a specific reality through numbers.
C36,data presentation software,Data Analysis,"A computer tool or application that creates a graphical and visual representation of data, allowing a better understanding and interpretation of complex data through visual elements such as maps, charts, infographics or graphs."
C37,statistical modeling,Data Analysis,The approaches for employing statistical analysis to dataset within the data science field. It seeks to elaborate reality predictions through statistical models and explicit assumptions.
C38,analysing survey data,Data Analysis,"Analyse and interpret survey data acquired from a wide variety of sources e.g. satellite surveys, aerial photography and laser measurement systems. survey data processing, survey data analysis, collected survey data processing, processing collected survey data, analysing of survey data, processing survey data, processing of collected survey data, analyse survey data, analysis of survey data, analysing survey data
"
C39,Microsoft SSIS,Data Engineering & Databases,"The computer program SQL Server Integration Services is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company Microsoft. Microsoft SSIS, Microsoft SQL Server Integration Services, SSIS
"
C40,interpret data on elements of logistics,Data Analysis,"Read and interpret supply chain and transportation data. Analyse the reliability and availability of findings by using methods such as data mining, data modelling and cost-benefit analysis. interpret data on elements of logistics, interpret logistical data through analytical methods, analyse data on logistical elements, use methods for analysing logistical data, interpret logistical data, utilise methods for analysing logistical data, interpret logistical data through use of analytical methods,  utilise logistical data analysis methods, utilise methods of logistical data analysis, analyse logistical data, use logistical data analysis methods
"
C41,research design methods,Programming & Software Development,"The set of methods and techniques of research that are used to conduct a study. It includes practical steps in research such as purpose statement, data collection, methodology, and data analysis."
C42,DBMS,Data Engineering & Databases,"Extract, store and verify information using database management systems based on the relational database model, which arranges data into tables of rows and columns, such as Oracle Database, Microsoft SQL Server and MySQL."
C43,Not Only SQL non-relational database,Data Engineering & Databases,"The Not Only SQL non-relational database used for creating, updating and managing large amounts of unstructured data stored in the cloud. Not Only SQL non-relational database, NoSQL database management system, NoSQL non-relational database,  Not Only SQL database management system"
C44,experimental data,Data Analysis,"The study of statistical theory, methods and practices such as collection, organisation, analysis, interpretation and presentation of data. It deals with all aspects of data including the planning of data collection in terms of the design of surveys and experiments in order to forecast and plan work-related activities. experimental data, use of data in performance of work, use of statistics, organisation of data, data analysis, survey data, use of statistics in performance of work, data collection, stats, data work, big data, metadata,  statistical analysis, use of data, administrative data
"
C45,analyse civil aviation authority data for incorporation into aeronautical publications,Data Analysis,"Collect, edit, and analyse data received from civil aviation authorities and related services. Analyse the data to prepare amendments that are incorporated into aeronautical informational publications. analyse civil aviation authority data for incorporation into aeronautical publications, develop aeronautical publication amendments through data analysis, collect edit and analyse data for incorporation into aeronautical publications, evaluate data for aeronautical publications, analyze data for aeronautical publications, assess data for aviation publications, conduct aeronautical data analysis for incorporation into aeronautical publications, evaluate data for aviation publications, create aeronautical publication amendments through data analysis, analyse data for aviation publications, assess data for aeronautical publications
"
C46,perform machine learning,Machine Learning,"Use techniques and algorithms that are able to extract mastery out of data, learn from it and make predictions, to be used for program optimisation, application adaptation, pattern recognition, filtering, search engines and computer vision. carry out machine learning, use machine learning, utilize machine learning, perform machine learning
"
C47,business data analytics,Data Analysis,The disciplines and technologies for solving business problems through employing quantitative methods such as data analysis and statistical models.
C48,fundamental data analysis,Data Analysis,The techniques for measuring the intrinsic value of a financial security through the assessment its economic and financial factors. It combines together the analysis of macroeconomic trends and of financial statements of the companies.
C49,carry out ICT user research,Programming & Software Development,"Perform research tasks such as recruitment of participants, scheduling of tasks, collecting of empirical data, data analysis and production of materials in order to assess the interaction of users with an ICT system, program or application."
C50,Postgres,Data Engineering & Databases,"The computer program PostgreSQL is a free and open-source software tool for creating, updating and managing databases, developed by the PostgreSQL Global Development Group."
C51,"The tools for creating, updating and managing databases",Data Engineering & Databases,"The tools for creating, updating and managing databases, such as Oracle, MySQL and Microsoft SQL Server. PointBase Embedded, R:Base, Adaptive Server Anywhere, Oracle Lite, Rdb, Interbase, Velocis, Jasmine ii, Raima Database Manager, IDMS, YARD-SQL, Versant, Oracle 8I, Db.linux, NonStop SQL, Quadbase SQL Server, PointBase Network Server, Pervasive.SQL 2000, UniData, UniSQL, 
Adaptive Server Enterprise, Db.star, POET Object Server Suite, Informix Dynamic Server 2000, Informix Extended Parallel Server, DBMS, Cloudscape, SUPRA, database systems, SQLBase, IMS DB, Peoplesoft, Datacom,DB2 Everyplace, Sybase, PointBase Mobile, Model 204, Advantage Database Server,Pervasive.SQL Workgroup, Adabas D, TimesTen, DB engines, Adabas, Objectivity DB, SQL, Ingres ii
"
C52,statistical analysing of system software,Data Analysis,"Specific software system (SAS) used for advanced analytics, business intelligence, data management, and predictive analytics. statistical analysing of system software, statistical analysis of system software, statistical analysis of software systems, statistical analysis system programme, statistical analysis system operating system, statistical analysis system application
"
C53,"C++ software
C++ framework",Programming & Software Development,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in C++."
C54,use network diagnostics tools,"Cloud, DevOps & IT Systems","Use software tools or components that monitor ICT network parameters, such as performance and throughput, provide data and statistics, diagnose errors, failures or bottlenecks and support decision making."
C55,MS SQL Server,Data Engineering & Databases,"The computer program SQL Server is a tool for creating, updating and managing databases, developed by the software company Microsoft."
C56,perform analysis of safety data,Data Analysis,"Use different safety databases to perform analyses of information on actual or potential safety threats. perform analysis of safety data, analyse safety data to identify safety threats, conduct safety analyses using database information, conduct safety data analysis, evaluate safety data, analyse safety data to determine safety threats, perform assessments of safety data, utilise information from safety bases to analyse threats to safety, conduct analysis of safety data, use information from safety databases to analyse threats to safety, evaluate safety data to determine safety threats, perform safety data assessment
"
C57,visualise data,Data Analysis,"Create visual representations of data such as charts or diagrams for easier understanding. create data visualisation, visualise data
"
C58,use particular data analysis software,Data Analysis,"Use specific software for data analysis, including statistics, spreadsheets, and databases. Explore possibilities in order to make reports to managers, superiors, or clients. use particular data analysis software, utilise particular data analysis software, utilise specific data analysis software, undertake data analysis through use of specific software, perform data analysis using specific software, conduct data analysis activities utilising specific software, conduct data analysis using particular software, carry out data analysis using specific software, use specific software for data analysis, utilise specific software for data analysis
"
C59, Python,Programming & Software Development,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming in Python. Python 3K, Python
"
C60,present a report,Data Analysis,"Display results, statistics and conclusions to an audience in a transparent and straightforward way. present a report, prepare statistical reports, submit presentation
"
C61,monitor an after sales record,Data Analysis,"Keep an eye on the after sales feedback and monitor customer satisfaction or complaints; record after sales calls for thorough data analysis. monitor an after sales record, monitoring after sale records, view after sales records, watch after sales records, oversee after sales records, monitoring after sales records, supervise after sales records
"
C62,compose statistical data for insurance purposes,Data Analysis,"Produce statistics on potential risks such as natural and technical disasters and production downtimes. compose statistical data for insurance purposes, collect statistical data for insurance purposes, produce statistics for insurance purposes
"
C63,analysing seismic data,Data Analysis,"Interpret data gathered through seismic survey to visualize the subsurface of the earth. analysing seismic data, analyse seismic data, interpreting of seismic data, interpreting seismic data, analysis of seismic data, seismic data interpretation, analysing of seismic data, seismic data analysis, interpretation of seismic data
"
C64,deep neural networking,Machine Learning,"The principles, methods and algorithms of deep learning, a subfield of artificial intelligence and machine learning. Common neural networks like perceptrons, feed-forward, backpropagation, and convolutional and recurrent neural networks. deep neural networking, deep learning methods, deep learning principles
"
C65,data science process,NLP & AI Advanced / Data Science,"The field of study that deals with big amount of data using AI techniques such as machine learning algorithms to predict patterns and obtain useful information to make business decisions. data science process, science of data
"
C66,empirical data analysis,Data Analysis,The evidence-based method that is used to analyse and interpret information with the aim of drawing conclusions about a specific issue.
C67,NLP,NLP & AI Advanced / Data Science,The technologies which enable ICT devices to understand and interact with users through human language NLP.
C68,Design a relational database for business needs,Data Engineering & Databases,"Turn business rules into tables, keys, and relationships. Keep data consistent and easy to query."
C69,Design a NoSQL database for flexible data,Data Engineering & Databases,Choose document/key-value/graph when data is messy or changes often. Model data for fast reads.
C70,Build a Data Lake (raw → cleaned → curated zones) ,Data Engineering & Databases,"Store all types of data, organize it into zones, and make it easy to find and reuse."
C71,Choose the right storage (warehouse vs lakehouse vs lake),Data Engineering & Databases,"Decide where data should live based on speed, cost, and analytics needs."
C72,Create a data catalog and metadata,Data Engineering & Databases,"Describe datasets (owner, meaning, freshness) so people can discover and trust them."
C73,Data lineage and traceability,Data Engineering & Databases,Track where data comes from and how it changes through pipelines.
C74,"Set storage performance metrics (latency, freshness, cost)",Data Engineering & Databases,Measure if data is available fast enough and cheap enough for the business.
C75,Build ETL/ELT pipelines from many sources,Data Engineering & Databases,"Pull data from APIs, files, databases, and apps; transform it and load it reliably."
C76,Handle schema changes safely,Data Engineering & Databases,Detect when columns change and prevent broken pipelines.
C77,Build streaming pipelines for near real-time data,Data Engineering & Databases,Process events as they arrive and update dashboards quickly.
C78,Use Kafka for event streaming,Data Engineering & Databases,"Create topics, manage partitions, and handle consumer groups in a stable way."
C79,Use Spark for large-scale processing,Data Engineering & Databases,Run distributed transformations and optimize performance.
C80,Optimize pipeline performance,Data Engineering & Databases,"Reduce slow steps, cut useless work, and keep pipelines stable at scale."
C81,Build retry and recovery for pipelines,Data Engineering & Databases,Make pipelines restart safely after failures without losing data.
C82,Orchestrate pipelines (Airflow / Prefect style),Data Engineering & Databases,"Schedule jobs, manage dependencies, and alert on failures."
C83,Deploy data systems on cloud and on-prem,"Cloud, DevOps & IT Systems",Run services in both environments and keep them consistent.
C84,Use containers (Docker) for repeatable deployments,"Cloud, DevOps & IT Systems",Package apps the same way for dev/test/prod.
C85,Build CI/CD for data projects,"Cloud, DevOps & IT Systems",Automate tests and deploy pipelines quickly with less human error.
C86,Infrastructure as Code (Terraform style),"Cloud, DevOps & IT Systems",Create cloud resources from code and track changes in Git.
C87,"Monitor systems (logs, metrics, alerts)","Cloud, DevOps & IT Systems",Detect problems early using dashboards and alerts.
C88,High availability and resilience,"Cloud, DevOps & IT Systems",Design systems that keep working even when parts fail.
C89,Cost control (FinOps basics),"Cloud, DevOps & IT Systems","Track cloud spending, set budgets, and reduce waste."
C90,Manage access with IAM (roles and permissions),"Cloud, DevOps & IT Systems","Give the right access to the right people, and audit it."
C91,Encrypt data at rest and in transit,"Cloud, DevOps & IT Systems",Protect data while stored and while moving between services.
C92,Key management and secret management,"Cloud, DevOps & IT Systems",Store keys and passwords safely and rotate them.
C93,GDPR basics for data work,"Cloud, DevOps & IT Systems","Respect privacy rules: data minimization, retention, access requests, consent."
C94,Build data retention and deletion rules,Programming & Software Development,Keep data only as long as needed and delete safely.
C95,Security incident response for data systems,"Cloud, DevOps & IT Systems",Know what to do when there is a breach or suspicious activity.
C96,Security checks for cloud resources,"Cloud, DevOps & IT Systems","Prevent open buckets, weak access rules, and risky settings."
C97,"Data quality checks (nulls, duplicates, ranges)",Data Engineering & Databases,Detect bad data before it reaches users or models.
C98,Set data quality SLAs,Data Engineering & Databases,Define what “good data” means and measure it over time.
C99,Data observability,Data Engineering & Databases,"Monitor data freshness, volume changes, and broken pipelines automatically."
C100,Audit data quality and propose fixes,Data Engineering & Databases,Find root causes of bad data and create a repair plan.
C101,Continuous improvement of data quality,Data Engineering & Databases,"Improve data processes over time, not just once."
C102,Exploratory data analysis (EDA),Data Analysis,"Explore data, find patterns, and ask good questions early."
C103,Build interactive dashboards,Data Analysis,"Create dashboards people actually use, with filters and clear KPIs."
C104,Real-time reporting,Data Analysis,Update dashboards quickly using streaming or frequent refresh.
C105,Explain insights to non-technical people,Data Analysis,Turn numbers into a clear story and a decision.
C106,Define business KPIs with stakeholders,Data Analysis,Pick the right indicators and make them consistent.
C107,Build supervised ML models (classification/regression),Machine Learning,Train models to predict outcomes from data.
C108,Evaluate ML models with the right metrics,Machine Learning,"Choose metrics (F1, AUC, RMSE…) and compare models fairly."
C109,Prevent data leakage and overfitting,Machine Learning,Avoid common training mistakes that fake good results.
C110,Deploy models into production,Machine Learning,Serve predictions via API or batch jobs and keep it stable.
C111,Monitor model drift and performance,Machine Learning,Detect when the model gets worse because data changed.
C112,Model versioning and reproducibility,Machine Learning,"Track model versions, training data, and parameters."
C113,Automate retraining (MLOps),Machine Learning,Retrain models regularly with CI/CD-like workflows.
C114,Identify good use cases for Generative AI,NLP & AI Advanced / Data Science,"Pick tasks where GenAI adds real value (support, search, writing)."
C115,Build a RAG pipeline,NLP & AI Advanced / Data Science,"Split documents, create embeddings, store them, retrieve the right chunks, then generate an answer."
C116,Write good prompts for business tasks,NLP & AI Advanced / Data Science,"Use clear instructions, examples, and constraints to reduce hallucinations."
C117,Evaluate GenAI output quality,NLP & AI Advanced / Data Science,"Use simple tests, human checks, and metrics (relevance, faithfulness)."
C118,Reduce hallucinations with grounding,NLP & AI Advanced / Data Science,Force answers to come from retrieved documents and cite sources.
C119,Choose the right foundation model,NLP & AI Advanced / Data Science,"Compare models by cost, latency, quality, privacy, and deployment limits."
C120,Handle sensitive data in GenAI systems,NLP & AI Advanced / Data Science,"Mask private info, control access, and log safely."
C121,"Define data governance roles (owner, steward, custodian)",Data Engineering & Databases,Clarify who is responsible for quality and access.
C122,Create data standards and policies,Data Engineering & Databases,"Naming rules, definitions, documentation, validation rules."
C123,Build a data strategy for the company,Data Engineering & Databases,Make data a core asset with a clear plan and priorities
C124,Promote a data-driven culture,Data Engineering & Databases,"Help teams use data in daily decisions, not only in reports."
C125,Regulatory watch (laws and standards),"Cloud, DevOps & IT Systems",Keep track of new rules and adjust practices over time.
C126,"Define project scope, risks, and timeline",Programming & Software Development,"Agree on goals, constraints, and key risks early."
C127,Choose the right project method (Agile vs V-model),Programming & Software Development,Pick what fits the team and the product.
C128,Plan tasks and responsibilities,Programming & Software Development,Assign work clearly and track progress.
C129,Manage budgets and ROI,Programming & Software Development,Follow costs and explain value to stakeholders.
C130,Communicate project status clearly,Programming & Software Development,"Share wins, delays, blockers, and next steps."
C131,Assess skill gaps and hiring needs,Programming & Software Development,Identify missing skills and plan training or recruiting.
C132,Inclusive team management,Programming & Software Development,"Organize work fairly, respect diversity, and support collaboration."
