competency_id,competency,,Domaine ,Description,BlockID,BlockName,isIT
,"assist in developing practices for the well-being of employees
help to develop policies for the well being of employees
help in developing practices for well being of employees
assist the development of practices for well being of employees
assist in developing a practice for the well being of the employees",,,"Help in policies development, practices and cultures that promote and maintain the physical, mental and social well-being of all workers, in order to prevent sick leave.",,,
,"analyse recycling grant opportunities
investigate recycling grant opportunities
research a recycling grant opportunity
seek grants
identify grants
research recycling grant opportunities
identify funding
probe recycling grant opportunities
obtain funding
secure grants
obtain grants
search recycling grant opportunities
secure funding
seek funding",,,Detect possible grants and grant opportunities for their organisation by consulting the foundation or agency offering the funding. Follow up and complete application processes.,,,
,ethical hacking techniques,,,The set of actions that are carried out to detect vulnerabilities within a computerised system in order to improve security within an organisation. They aim to identify and address data breaches and threats in a network.,,,
,"counselling method
counseling methods
counseling techniques
methods of counselling
methods of counseling
counseling method
counselling techniques",,,"Counselling techniques used in different settings and with various groups and individuals, especially concerning methods of supervision and mediation in the counselling process.",,,
,"determine process optimisation
process optimisation lead
control process optimisation
manage process optimisation
govern process optimisation
lead process optimization",,,Lead process optimisation using statistical data. Design experiments on the production line and functional process control models.,,,
,"cover workpiece components from processing
ensure workpiece components are not treated with chemicals
keep away parts of workpiece from processing
protect pieces of work from processing
protect components of workpieces from processing
preserve workpiece components from processing
cover workpiece parts from processing
keep workpiece components from being treated with chemicals",,,Cover parts from being treated with chemicals in order to protect them.,,,
,"create new music compositions
create original melodies
develop an original melody
write a melodic composition
create new musical compositions
write new melodies",,,"Create impromptu compositions for accompaniment or solo parts, for vocal or instrumental performance in different musical genres.",,,
,"software user interface design patterns
solutions for software user interface tasks
best practices for software user interface tasks
solutions for software UI tasks
software UI design best practices",,,The reusable solutions and formalised best practices to solve common user interface tasks in software development and design.,,,
,"optimising the varnish mixture
adjusting of the varnish mixture
varnish mixture adjusting
adjusting the varnish mixture
optimise the varnish mixture
varnish mixture optimising",,,Adjust the mixed elements in order to create the proper varnish by adding oil when the gum becomes liquid.,,,
,"produce health, safety and environment assessments
assemble health, safety and environment assessments
create health, safety and environment assessments",,,"Execute health, safety and environmental assessments to ensure proper working environment and conditions.",,,
,"wind turbine blades evaluating
testing wind turbine blades
evaluate wind turbine blades
wind turbine blades testing
evaluating wind turbine blades",,,"Test new designs of wind turbine blades which are meant for usage on wind farms, ensuring that the blades are functional and safe for usage on the target wind farm.",,,
,"assure quality in nursing care
offer professional care in nursing
provide professional nursing-care
provide high-quality care in nursing
provide professional nursing care",,,"Provide professional care, adequate to the health and nursing care needs of the individuals, families and groups, taking into account the scientific developments, as well as the quality and safety requirements established in accordance with the legal/professional conduct regulations.",,,
,"advise patients on medicines
advise healthcare users on medicines
provide medicines information to healthcare users
provide medicines information to patients",,,"Discuss and agree with healthcare users on the appropriate use of medicines, providing the healthcare user with sufficient information to assure the safe and proper use of the medicine.",,,
,"advising on credit rating
offer suggestions on credit rating
advise on credit ratings
give recommendations on credit rating
counsel on credit rating",,,"Provide advice on the debtor's ability, be it a government institution or a business, to pay back its debt.",,,
,"undertake necessary checks before moving aircraft onto stand
undertake safety checks before moving aircraft onto stand
perform standard assessment of aircraft before moving it into stands
ensure aircraft safety before being placed onto stand
conduct safety checks before moving aircraft onto stand
conduct standard assessment of aircraft before moving it into stands
perform the necessary checks before bringing the aircraft onto stand
conduct necessary checks before moving aircraft onto stand
perform safety checks before moving aircraft onto stand
ensure implementation of aircraft safety checks before being placed into stand",,,"Perform a series of standard checks before bringing aircraft into a stand. Check service equipment and check for oil/fuel spills. Check activities on adjacent stands, etc.",,,
,"create master patterns
draw scaled patterns for footwear
design patterns for footwear
manually create patterns for footwear
pattern making",,,"Produce the mean form or shell, a two-dimensional representation of the three-dimensional shape of the last. Create scaled patterns for uppers and bottom components by manual methods from the designs.",,,
,"comprehend written Icelandic
read Icelandic
make sense of written Icelandic
understand Icelandic writing
interpret written Icelandic",,,Read and comprehend written texts in Icelandic.,,,
,"birth of a child
process of delivering a baby
accouchement
parturition
confinement",,,"The process of delivering a baby, the symptoms and signs of labour, the expulsion of the baby and all the related steps and procedures, including the ones related to complications and pre-mature birth.",,,
,"conforming to alcohol regulations
conforming to alcohol legal standards and specifications
conform with alcohol legal standards and specifications
conforming with alcohol legal standards and specifications
alcohol regulations conforming
conforming with alcohol regulations
conform with alcohol regulations
conform to alcohol legal standards and specifications",,,"Ensure legal standards and specifications, such as the alcohol levels of EU and the country of export, are met.",,,
,"alternative energy
clean energy
green technologies",,,"Technologies with the aim of reducing environmental and ecological risks, achieving at the same time, a positive economic, social, and environmental impact. They are innovative technologies designed to prevent, reduce and recover from the negative impact of humanity in the planet.",,,
,"oversee guest laundry services
coordinate laundry services
supervise guest laundry
oversee service of guest laundry",,,"Ensure that guest laundry is collected, cleaned and returned to a high standard and in a timely fashion.",,,
,"deliver nursing care to hospitalised animals
perform veterinary hospital nursing activities
provide nursing care for animals in veterinary hospitals
undertake veterinary hospital nursing activities
supply nursing care to animals in veterinary hospitals
conduct veterinary hospital nursing activities
provide nursing care for veterinary hospitalised animals
deliver nursing care to animals in veterinary hospitals
carry out duties of a veterinary nurse
ensure hospitalised animals receive nursing care
provide nursing care for hospitalized animals
supply nursing care to hospitalised animals",,,"​'Plan and provide nursing care to hospitalised animals, conducting a range of activities related to areas including fluid and nutrition, hygiene and grooming, comfort and pain management, toileting, positioning and exercise, attention and enrichment, and the nursing environment.'.",,,
,"traditional medicine
integrative medicine
natural medicine
unconventional medicine
alternative medicine
complementary medicine
alternative and complementary medicine",,,Medical practices which are not part of the standard care in healthcare.,,,
,"monitoring plans for forage grazing
monitor plans for grassland and forage grazing
monitoring plans for grassland and forage grazing
monitoring grassland and forage grazing plans
forage grazing plans monitoring
plans for forage grazing monitoring
monitoring forage grazing plans
monitor grassland and forage grazing plans
monitor plans for forage grazing",,,Supervise the forage plan for grazing following the chosen production system. Determine the required quantity of conserved forages and the grazing plan based on the production systems and available resources.,,,
,principles of environmental economics,,,The subfield of economics that studies the efficient allocation of environmental resources to the aim of minimizing the negative impacts on the natural environment.,,,
,"use of therapeutic baths to treat medical conditions
procedures using therapeutic baths
therapeutic bath treatments
balneotherapy practice
balneotherapy treatments
balneotherapy paradigms
principles of treatment through use of therapeutic baths
balneotherapy procedures
balneotherapy principles
treatment using therapeutic baths",,,"The use of therapeutic baths to treat a variety of conditions, through relaxation, massage or stimulation techniques. This includes the beneficial properties of mineral waters and mud-wrapping techniques.",,,
,"utilize traditional carpet-making techniques
utilise traditional carpet-making techniques
use traditional techniques for carpet-making
use techniques for traditional carpet-making
utilize traditional techniques for carpet-making
utilise traditional techniques for carpet-making
use techniques for hand-made carpets manufacture",,,"Create carpets using traditional or local techniques. Use methods such as weaving, knotting or tufting to create handicraft carpets from wool or other textiles.",,,
,"transformation of energy
conversion of energy
energy conversion",,,The processes undergone by energy when changing its form from one state into the other.,,,
,"assess quality of vineyard
vineyard quality evaluating
assessing quality of vineyard
evaluating quality of vineyard
assessing vineyard quality
evaluating vineyard quality
vineyard quality assessing
evaluate quality of vineyard
assess vineyard quality",,,Help in assessing the vineyard and varietal fruit. Supervise receipt and evaluation of fruit according to quality parameters and specifications.,,,
,"explain communication sciences
educate on communication sciences
provide instruction on communication sciences
teaching communication sciences
teaches communication sciences",,,"Instruct students in the theory and practices of mass media, communication methods, journalistic practices, and persuasive communication.",,,
,"give psychological support to patients
provide psychological support to healthcare users
provide psychological support to service users
support patients' pyschological wellbeing",,,"Provide accurate psychological and emotional support to anxious, vulnerable and confused healthcare users related to the treatment undergone.",,,
,"operating of sleeper clipping unit
clipping rails to baseplate
operate tension clamp machine
clip rails to baseplate
clipping of rails to baseplate
operating pandrol machine
operating tension clamp machine
operate pandrol machine
sleeper clipping unit operating
operation of sleeper clipping unit
sleeper clipping unit operation
clipping of rails to sleepers
clipping rails to sleepers
operating sleeper clipping unit",,,Operate a machine that installs metal fastening clips onto railway sleepers. Attach the rails to the sleepers securely by using manual equipment.,,,
,"operate agricultural policies
implement agricultural policies
produce farming policies
implement farming policies
operate farming policies
establish agricultural policies
produce agricultural policies
establish farming policies",,,"Develop programmes for development of new technologies and methodologies in agriculture, as well as the development and implementation of improved sustainability and environmental awareness in agriculture.",,,
,"plan the room and set out equipment for fitness session
plan and prepare exercise session
prepare session for exercises
prepare session for exercise",,,Prepare equipment and facilities for the session ensuring compliance with industry and national guidelines for normal operating procedures and plan timings and sequences for the session.,,,
,"maintaining protective equipment
operability of protective equipment ensuring
protective equipment maintaining
ensuring operability of protective equipment
maintain protective equipment",,,"Monitor and maintain the equipment used during remediation activities such as disinfection, decontamination, radiation removal or pollution control, in order to ensure that the equipment is functional and able to control the hazard and protect the remediation workers.",,,
,"check flow lines
inspecting of pipelines
checking of pipelines
check pipelines
inspection of pipelines
inspecting pipelines
pipeline inspection
checking pipelines
checking flow lines",,,Walk flow lines to identify damage or leaks; use electronic detection equipment and conduct visual inspections.,,,
,"interpret written Tamil
read Tamil
comprehend written Tamil
make sense of written Tamil
understand Tamil writing",,,Read and comprehend written texts in Tamil.,,,
,"maintain psychotherapeutic relationships
manage psychotherapy relationships
handle psychotherapeutic relationships
handle psychotherapy relationships
establish psychotherapeutic relationships
establish psychotherapy relationships
maintain psychotherapy relationships",,,"Establish, manage and maintain the therapeutic relationship between psychotherapist and patient and client in a safe, respectful and effective way. Establish a working alliance and self-awareness in the relationship. Make sure the patient is aware that his/her interests are a priority and manage out-of-session contact.",,,
,"reproduction
copying",,,"The process of reproducing, reprinting, or copying graphic material especially by mechanical or electronic means such as photography or xerography.",,,
,"control hammer mill
operating hammer mill
run hammer mill
use hammer mill
operate hammer mills
activate hammer mill
handle hammer mill",,,Operate a mill that uses little hammers to shred various material into smaller pieces.,,,
,"use photographic or television equipment to capture moving images
use equipment to capture images
operating a camera
operate cameras",,,Capture moving images with a camera. Operate the camera skilfully and safely to obtain high quality material.,,,
,"calculating costs in farm
farm costs calculating
farm cost calculating
calculating costs in farming
farm costs estimating
calculate costs on farm
farm cost estimating
estimating costs in farming
estimate costs in farming
calculate costs in farming
estimating costs on farm",,,Provide cost analysis for relevant solutions and proposed actions taking into account the farm type and long term planning principles.,,,
,"receiving incoming electronics supplies
receive incoming electronics supplies
processing incoming electronics supplies
incoming electronics supplies receiving
incoming electronics supplies processing",,,"Receive incoming electronics supplies, handle the transaction and enter the supplies into any internal administration system.",,,
,"develop contents for travel brochures
produce tourism brochure contents
produce content for tourist brochures
create details and images for tourism material",,,"Create content for leaflets and tourism brochures, travel services and package deals.",,,
,"advising on acquisitions
give recommendations on acquisitions
advise on acquisition
counsel on acquisitions
offer suggestions on acquisitions",,,Provide advice based on existing and planned acquisitions and investigate acquisition options.,,,
,"foundations of biomedicine
bio-medicine
study of biomedicine
principles of biomedicine",,,The study of the human body in relation to medicine and the environment. This includes the applications and practices involved in biological and natural sciences.,,,
,"utilise brazing equipment
use brazing equipment
utilise welding torches
handle welding torches
use welding torches
handle brazing equipment
run brazing equipment
run welding torches",,,Use equipment designed for brazing processes in order to melt and join together pieces of metal or steel.,,,
,"monitor trends in aviation growth
observe aviation growth trends
monitor trends in the aviation industry
stay up-to-date with aviation growth trends
observe trends in aviation growth
possess up-to-date knowledge of aviation industry trends
understand long-term aviation trends",,,Stay up-to-date with aviation growth trends and innovations; understand the key components of the airport's long range development plans.,,,
,"document stock of costumes
keep records of costumes in stock
keep a record of costume stock
document costumes in stock",,,Keep records of the costumes held in stock. Track all relevant properties of the costumes and how they are used.,,,
,"social partnerships
social collaborative networks",,,"The creation of partnerships between different actors (businesses, non-profit organisations or public sector organisations) through which they share resources and knowledge for a common cause: typically to solve a social or environmental challenge.",,,
,"use psychological intervention strategies
apply psychological intervention technique
apply psychological intervention strategy",,,Use various intervention strategies to treat patients in clinical psychology.,,,
,"sort refuse
sort rubbish
organise waste
arrange waste
conduct activities to separate waste
separate waste into different categories
categorise waste
organise refuse
perform waste separation activities
sort garbage
perform activities to separate waste
group waste according to characteristics",,,Manually or automatically sort waste by separating it into its different elements.,,,
,Syntactically Awesome Stylesheets,,,"The computer language Sass is a style sheet language that conveys the presentation of structured documents. These documents have to adhere to style sheets, a set of stylistic rules such as font, color and layout.",,,
,"medinice of skin diseases
dermatology principles",,,Dermatology is a medical specialty mentioned in the EU Directive 2005/36/EC.,,,
,"assure no harmful effects on feed additives
ensure no harmful effects on additives to feed
secure no harmful effects on feed additives
establish no harmful effects on feed additives
maintain no harmful effects on feed additives
ensure no harmful effects on an additives in a feed
ensure no harmful effects on a feed additive",,,Ensure that feed additives undergo scientific evaluation to assess if the additive has any harmful effects on human or animal health or on the environment.,,,
,"perform inspections
manage inspecting the equipment
manage inspections of property
manage equipment inspection",,,Monitor formal or official viewings and examinations in order to regularly test and inspect property and equipment.,,,
,"measuring hearing acuity
diagnosing hearing impairment through audiometry
testing of a person's ability to hear sound frequencies",,,"The way hearing acuity is measured, specifically related to sound intensity and pitch and tonal purity in order to diagnose hearing impairment and related disorders.",,,
,"educate on teaching principles
explain teaching principles
provide instruction on teaching principles
teaches teaching principles
teaching teaching principles",,,"Instruct students in the theory and practice of teaching, more specifically in the different teaching methods, classroom management, and learning processes.",,,
,"diagnosis and treatment of blood diseases
study of blood diseases",,,Biological haematology is a medical specialty mentioned in the EU Directive 2005/36/EC.,,,
,"show commitment
achieve goals
meet commitment
demonstrate steady effort
meet targets
show responsibility
show conscientiousness
work to deadlines
demonstrate loyalty
meeting commitments
demonstrate commitment
demonstrate reliability
demonstrate conscientiousness
show reliability
demonstrate punctuality
keep promises",,,"Perform one's tasks in a self-disciplined, reliable and goal-oriented manner.",,,
,"fit locks
installing locks
lock fitting
lock installation
fitting of locks
fitting locks
fit lock
installation of locks",,,Fit a lock into a compatible door. Install the lock for optimal security.,,,
,"determine use of hardware
demonstrating use of hardware
establish use of hardware
demonstrating the use of hardware
demonstrate the use of hardware
show use of hardware
display use of hardware",,,"Provide customers with information about the quality of hardware, equipment and tools; demonstrate correct and safe product use.",,,
,"ensure tableware is ready to be used
ensure use of tableware is ready
ensure tableware is ready for use
make sure dinnerware is ready for use
check that plates and cutlery and glasses are ready for use",,,"Guarantee that plates, cutlery and glassware are clean, polished and in good condition.",,,
,"use a monogram-printing device
operate a monogram-printing device
work a monogram-printing device
utilise a monogram-printing device
operate monogram-printing devices
run a monogram-printing device",,,Set up and operate monogram-printing device to print brand on cigarette paper at specified position.,,,
,"design multi-tier cloud architecture
create cloud architecture
engineer cloud architecture",,,"Design a multi-tier cloud architecture solution, which tolerates faults and is fit for the workload and other business needs. Identify elastic and scalable computing solutions, select high-performing and scalable storage solutions, and choose high-performing database solutions. Identify cost-effective storage, computing, and database services in the cloud.",,,
,"direct military troops
oversee military personnel
control military personnel
oversee military troops
direct military personnel
supervise military troops
control military troops
supervise military personnel",,,"Lead the actions of military troops on the field during a mission, either combat, humanitarian or otherwise defensive, compliant with the strategies devised prior to the operation and ensuring communication with other troops is maintained.",,,
,"complete forensic investigations
carry out forensic examinations
complete forensic examinations
undertake forensic investigations
carry out forensic investigations
undertake forensic examinations",,,"Perform forensic examinations on a scene or in a laboratory of gathered data, in a manner compliant with forensic procedures, and to analyse the data using forensic methods.",,,
,"devising waste management processes
waste management process developing
waste management process devising
devise waste management processes
waste management processes devising
developing waste management processes
waste management processes developing",,,"Develop equipment, methods, and procedures which can be applied in various types of waste treatment and disposal facilities in order to improve efficiency of waste management processes, reduce environmental impact, and ensure the safety of staff operational in waste management. Trainings for waste incinerators are excluded.",,,
,"arrange young peoples activities
prepare youth activities
arrange youth activities
prepare young peoples activities
schedule youth activities
schedule young peoples activities",,,"Run projects organised for young people such as arts-based activities, outdoor education and sporting activities.",,,
,"use fishing equipment machinery
handle fishing equipment machinery
utilise fishing equipment machinery
work on fishing equipment machinery
operating fishing equipment machinery",,,"Set up and operate machinery to form fishing equipment or accesories such as rods, hooks and lines.",,,
,"use computer reservation system
use system for global distribution
operate global distribution system",,,Operate a computer reservations system or a global distribution system to book or reserve transportations and accommodations.,,,
,"perform operations using maritime lifting equipment
tend maritime lifting equipment
utilise maritime lifting equipment
execute operations using maritime lifting equipment
utilise maritime lifting devices
use maritime lifting equipment
tend lifting equipment
operate maritime lifting devices
carry out operations using maritime lifting equipment
conduct activities using maritime lifting equipment
undertake activities using maritime lifting equipment",,,Operate motorised winches and hoists used by marine riggers; assist in the operation of sail-powered systems.,,,
,"tempering chocolate
soothe chocolate
temper of chocolate
cool chocolate
ease chocolate
dilute chocolate",,,Heat and cool chocolate using marble slabs or machines in order to obtain the desired characteristics for different applications like shininess of the chocolate or the way it breaks.,,,
,"hardware configuration characteristics
hardware configuration requirements",,,The characteristics of the hardware configuration required to process the applications software product.,,,
,"monitor suppliers on the market
identify the suppliers
search for suppliers
research for suppliers
identify a supplier",,,"Determine potential suppliers for further negotiation. Take into consideration aspects such as product quality, sustainability, local sourcing, seasonality and coverage of the area. Evaluate the likelihood of obtaining beneficial contracts and agreements with them.",,,
,"undertake shelf studies
conduct of shelf studies
organise shelf studies
carry out shelf studies
conduct a shelf studies
conducting shelf studies
plan shelf studies",,,Lead and manage shelf studies on products of a company and also products of other producers as to determine the position of the company in the market.,,,
,"fouling cleaning off
remove fouling
removing fouling
cleaning fouling off
cleaning off fouling
fouling removing",,,Clean off fouling in aquaculture facilities.,,,
,"develop power electronics system
develop power electronics systems
design power electronics systems
design power electronics system
develop power electronics",,,"Design and develop power electronics systems, products, and components according to specifications. Select suitable ancillary devices for the intended application.",,,
,"quality management
QA procedure
supervision procedures
quality control procedures
monitoring procedures
inspection procedures
quality check",,,The procedures to inspect a product or system to ensure that it is according to specifications and requirements.,,,
,"manage safety standards for inland water transportation
supervise safety standards for inland water transport
maintain safety standards for inland water transport
oversee safety standards for inland water transport
ensure inland water safety regulations and standards are followed
ensure compliance with inland water safety regulations and standards
ensure inland water safety regulations and standards are met
manage standards of safety for inland water transport
ensure compliance with inland water safety standards and regulations",,,"Manage and maintain safety standards and procedures in the field of inland water transport. Ensure that before dispatching any vessel, all regulations and standards are met. May also be required to act as a member of an Emergency Response Team.",,,
,"analyse communications channels for different employers/contractors
study communications channels for different contractors/employers
research communications channels for different employers/contractors
studying communications channels for different employers/contractors",,,"Research and test target employers/contractors and find out what ways they prefer to access work, contact, etc.",,,
,"taking care of greenhouse environment
ensuring correct greenhouse environment
ensure correct greenhouse environment
greenhouse environment coordinating
take care of greenhouse environment
coordinating greenhouse environment",,,Take care of the heating and cooling of greenhouses. Work together with the Grounds and Buildings Manager in keeping the irrigation systems and the horticultural equipment in good condition.,,,
,"forensic IT
digital forensic investigation",,,The process of examining and recovering digital data from sources for legal evidence and crime investigation.,,,
,"buy raw material supplies
purchase supplies of raw materials
acquire raw material supplies
purchase raw materials
manage supply logistics",,,Manage logistics of purchasing supplies of the raw materials for the tannery to ensure efficient operations of the tannery and meet clients' requirements.,,,
,"assist during take-off and landing
support take off and landing procedures
provide assistance during take off and landing
provide support to captain during take off and landing
support captain in the execution of take off and landing activities
assist during landing and take-off
support captain during take off and landing
assist during landing and take off
help during take off and landing",,,Assist captain in take-off and landing procedures by operating communication equipment.,,,
,"deal with helpdesk problems
handle a helpdesk problem
handling helpdesk problems
solve helpdesk problems
support helpdesk problems
handling a helpdesk problem
administer helpdesk problems",,,"Investigate what causes problems, test and improve solutions in order to reduce number of calls to the helpdesk.",,,
,"direct crew actions in technical shore-based operations
oversee activities in technical shore-based facilities
instruct crew in activities involving technical shore-based facilities
provide instructions to crew in operations of technical shore-based facilities
instruct crew in operations involving the use of technical shore-based facilities
instruct crew in operations of technical shore-based facilities
oversee operations in technical shore-based facilities
oversee crew activities during operations utilising technical shore-based facilities
instruct crew in technical shore-based operations
provide instruction to crew in technical shore-based operations
direct crew in technical shore-based operations",,,Instruct crew members in the pre- and after activities relating to the operations of technical shore-based facilities. Understand safety regulations required to work with shipboard electrical systems.,,,
,"calculation of well paths
designing of well paths
well path calculation
calculate well paths
designing well paths
well path designing
calculating well paths",,,Design and calculate multilateral and horizontal well paths.,,,
,"affiliations parties
political party
movements parties",,,The ideas and principles that political parties stand for and the politicians representing them.,,,
,"adjust shelf labels
replace shelf labels
alter shelf labels
changing a shelf label
renew shelf labels
changing shelf labels
change a shelf label",,,"Change labels on shelves, according to the location of products displayed on vending machines.",,,
,"apply creative thinking in the footwear and leather goods industries
apply creative thinking in the footwear and leather industry
apply innovative thinking in the footwear and leather industry
practice creative thinking in the footwear and leather goods industries
practice innovative thinking in the footwear industry
practice innovative thinking in the footwear and leather goods industries
practice innovative thinking in the leather goods industry
practice innovative thinking in the footwear and leather industries
apply innovative thinking in the footwear and leather goods industries",,,Innovate in the footwear and leather goods sector. Evaluate new ideas and concepts to turn them into marketable products. Use entrepreneurial thinking in all stages of the product and process development to identify new business opportunities for the targeted markets.,,,
,"describe interview purposes
explaining interview purposes
explain purposes of interview
outline interview purposes
explain interview purpose",,,Explain the main purpose and objective of the interview in a manner that the recipient understands and responds to the questions accordingly.,,,
,"tend a bottle-washing machine
look after bottle-washing machine
tend bottle-washing machines
take care of bottle-washing machine
watch bottle-washing machine
mind bottle-washing machine
tend bottle-washing machinery",,,"Tend bottle-washing machine ensuring that flow of bottles is fluent, machine input is sufficient, and maintenance is according to requirements.",,,
,"examine sites for pipeline installation
survey sites for installation of pipelines
conduct pipeline installation site surveys
perform assessments of pipeline installation sites
assess areas for pipeline installation
conduct surveys of pipeline installation sites
undertake evaluations of pipeline installation sites
survey areas for pipeline installation
carry out analyses of pipeline installation sites
assess sites for pipeline installation
examine areas for pipeline installation",,,"Perform surveys of different kinds of sites, such as inland or maritime site, for the planning and construction of pipeline infrastructure.",,,
,"installation in structures of wood elements
fit doors
fitting wood elements in buildings
wood elements installation in structures
fit wood elements into buildings
fitment of wood elements in buildings
fit stairs
fit wood elements in buildings
installation of wood elements in structures
fit ceiling frames
installing wood elements in structures",,,"Install elements made of wood and wood-based composite materials, such as doors, stairs, plinths, and ceiling frames. Assemble and affix the elements, taking care to prevent gaps.",,,
,marketing data analytics,,,The set of processes for employing data to improve the effectiveness of marketing activities. It involves analysing metrics such as the Return on Investment (ROI) for identify opportunities of improvement.,,,
,"international commerce
foreign trade
global trade
world wide trade
international trading",,,"The economic practise and study field that address the exchange of goods and services across geographic borders. The general theories and schools of thought around the implications of international trade in terms of exports, imports, competitivity, GDP, and role of multinational companies.",,,
,"oil pumping systems operation
control liquid circulation
oil pumping system operation
operating pumping equipment
operation of pumping equipment
pump gas
control pumping operations
control refinery liquid circulation
operation of oil pumping systems
oversee pumping operations
adjust oil flow
operating of pumping equipment
monitor pumping operations
pumping equipment operating
pump oil
pumping equipment operation",,,"Operate pumping equipment and control oil and gas pumping systems. Manipulate control panels to adjust pressure and temperature, as well as to direct product flow rate and to monitor liquid circulation in petroleum refinery. Oversee gas and oil transport from wellheads to refineries or storage facilities.",,,
,"oil pumping systems operation
control liquid circulation
oil pumping system operation
operating pumping equipment
operation of pumping equipment
pump gas
control pumping operations
control refinery liquid circulation
operation of oil pumping systems
oversee pumping operations
adjust oil flow
operating of pumping equipment
monitor pumping operations
pumping equipment operating
pump oil
pumping equipment operation",,,"Operate pumping equipment and control oil and gas pumping systems. Manipulate control panels to adjust pressure and temperature, as well as to direct product flow rate and to monitor liquid circulation in petroleum refinery. Oversee gas and oil transport from wellheads to refineries or storage facilities.",,,
,"plasma donation
blood donation process
blood donation procedures
whole blood donation
donating blood processes
blood donation collection",,,"The procedures related to collecting blood samples from volunteers, the screening testing against disease and the follow-up.",,,
,"conduct activities associated with the investigation of aircraft accidents
investigate air disasters
investigate flight incidents
analyse aircraft accidents
assess aircraft accidents
examine aircraft accidents
investigate air accidents
investigate aviation accidents
perform activities associated with the investigation of aircraft accidents",,,"Thoroughly investigate aircraft accidents, collisions, crashes or other aviation incidents.",,,
,"use vibratory feeder in food production
work vibratory feeder in food production
handle vibratory feeder in food production
operating a vibratory feeder in food production
operate a vibratory feeder in food production
utilise vibratory feeder in food production",,,"Operate vibratory feeder in order to separate beans and grains from shells and waste. A high frequency vibratory feeder gently and evenly feeds the product, such as almonds, into the hard shell cracker without breakage.",,,
,"evaluate competition policies
evaluate trade regulation policies
establish competition policies
prepare trade regulation policies
establish trade regulation policies
prepare competition policies
produce competition policies
produce trade regulation policies",,,"Develop policies and programmes which regulate practices of free trade and competition between businesses and ban practices which impede free trade, by controlling firms attempting to dominate a market, monitoring operations of cartels, and supervising mergers and acquisitions of large firms.",,,
,"carry out railway switching operations according to directions
follow switching instructions in railway operations
adhere to switching instructions in railway operations
conduct rail switching operations according to instructions
adhere to switching instructions in rail operations
adhere to switching directions in railway operations
follow switching directions in rail operations
comply with instructions in execution of railway switching operations
conduct rail switching operations in accordance with instructions
perform rail switching operations in accordance with directions",,,"Read and comprehend the instructions on switching rail cars and wagons, and perform switching operations accordingly.",,,
,InfoSec strategy,,,"The plan defined by a company which sets the information security objectives and measures to mitigate risks, define control objectives, establish metrics and benchmarks while complying with legal, internal and contractual requirements.",,,
,"plan transportation systems
develop transportation systems
define transportation systems
transportation systems design",,,"Outline and design airports, public transport systems and highways in order to assess how to move people and goods in a safe and efficient manner.",,,
,"protect students' safety
guaranteeing students' safety
guarantee student's safety
safeguard students' safety
guarantee student safety
ensure students' safety",,,Ensure all students falling under an instructor or other person’s supervision are safe and accounted for. Follow safety precautions in the learning situation.,,,
,"processing survey data
record survey measurements
collating survey data
collate survey data
collation of survey data
recording survey measurements
recording of survey measurements
survey measurements recording
survey measurement recording
process survey data",,,"Gather and process descriptive data by using documents such as sketches, drawings and notes.",,,
,"carry out inbound and outbound freight shunting operations
analyse the stability of train after loading activities
ensure train stability after loading
shunt inbound and outbound freight
perform shunting operations for inbound freight
move inbound and outbound freight using shunters
shunt inbound and outbound shipments
undertake shunting operations for inbound and outbound freight
shunt freight to inbound and outbound trains
shunt inbound shipments
shunt inbound freight loads
shunt inbound and outbound loads",,,"Shunt inbound freight loads to and from railcars for inbound and outbound trains. If requested, ensure train stability after freight has been loaded onto the railcars.",,,
,"suggestions on personnel management
provide personnel management advice
give personnel management advice and support
recommend personnel management
provide personnel management support
instruct on personnel management",,,"Advise senior staff in an organisation on methods to improve relations with employees, on improved methods for hiring and training employees and increasing employee satisifaction.",,,
,"filling molds with molten steel
pouring of molten metal into molds
fill moulds with molten steel
fill molds with molten metal
filling molds with molten metal
pouring of molten steel into moulds
fill molds with molten steel
pouring molten steel into moulds
pouring molten steel into molds
filling moulds with molten steel
pouring of molten steel into molds
pour molten steel into molds
pouring molten metal into molds
fill moulds with molten metal
pouring molten metal into moulds
pouring of molten metal into moulds
filling moulds with molten metal",,,Pour molten steel or metal into moulds; operate by hand or by using cranes.,,,
,"design virtual assistant skills
develop interaction model
design skills for interaction model",,,"Design and develop an interaction model. Design a multi-turn conversation, use built-in intents and slots, handle unexpected conversational requests or responses, design multi-modal skills using one or more service interfaces (for example, audio, video, and gadgets).",,,
,"planning of floor installation
design of floors
planning floor installation
select floor materials
selection of floor materials
flooring design
design of flooring
floor design
selecting floor materials
plan floor installation
plan terrazzo floor installation
designing floors",,,"Plan a floor to be created from different types of materials, like wood, stone or carpet. Take into account the intended use, space, durability, sound, temperature and moisture concerns, environmental properties and aesthetics.",,,
,"monitoring track renewal machine
monitoring rail pickup machine
monitoring of rail pickup machine
monitoring of track renewal machine
rail pickup machine monitoring
track renewal machine monitoring",,,Monitor the work train machine that picks up removed rails for transport. Make sure the rails are safely removed and loaded into a storage car.,,,
,"medicine
study of manufacture of medicines
nomenclature of medicines",,,"The medicines, their nomenclature and the substances used in the manufacture of medicines.",,,
